SubTime	NumProcs	ExeTime
346921	64	3883
350732	512	4525
358892	256	1478
359075	128	9722
366809	512	3117
373429	128	467
373496	512	5883
374320	512	401
374561	64	16584
375020	512	11532
376573	32	1030
376897	128	9691
376956	256	6588
377233	128	434
377436	128	19
377533	128	17
377891	64	416
378117	128	43
378205	32	94
378220	32	588
378424	128	14841
378673	512	3313
378692	256	101
378698	128	14769
378823	32	2690
379201	64	1488
379397	512	4165
379436	512	61
379640	128	13530
380874	32	237
381164	64	9115
381696	32	1029
381755	32	4686
382009	32	1100
382660	256	2642
382835	32	104
382970	32	552
383090	512	10
383534	128	2078
383543	512	19788
383577	32	149
383765	32	30
383834	32	127
384485	32	173
384909	32	171
384935	32	435
385235	32	321
385407	32	2664
385756	32	42
386137	128	446
386457	32	30
386586	128	11023
386777	256	92
386863	128	200
386910	64	4550
386917	32	34
387041	512	350
387744	512	483
387786	128	469
388143	256	114
388322	64	461
389245	128	263
389409	64	359
389606	256	1054
389713	32	114
389882	32	129
390030	32	122
390041	512	1683
390088	32	1140
390320	64	728
390414	32	239
390422	32	3701
390878	128	223
391261	32	340
391439	64	878
391643	32	3763
391661	32	449
391746	128	78
392101	256	16414
392301	32	503
392360	128	337
392820	64	143
392919	64	282
393054	64	1746
393468	128	12018
393717	32	59
393780	64	11
394056	128	260
394689	128	1642
394796	64	2525
394829	64	3622
394851	64	5270
395061	32	60
395419	128	11271
395438	32	294
395687	128	509
395777	32	37
395898	32	2666
396226	32	21
396606	32	102
396696	128	94
397357	128	414
397552	128	9670
398419	64	220
398475	32	158
398753	128	253
398853	32	206
399272	128	388
399629	64	424
399668	64	144
399983	64	4349
400052	64	362
400136	32	3400
400491	128	289
400809	64	149
401207	128	220
401256	64	233
401491	64	439
401564	64	77
401571	128	236
402838	128	11798
404473	32	1012
405497	64	3779
405834	128	2265
407352	128	410
407380	128	7015
407457	128	38
407982	128	32
408068	128	3231
409349	32	1119
411629	64	3919
413119	32	42
413264	32	446
414336	128	6287
415807	128	7107
416018	64	1393
417505	64	3857
422537	64	3916
426841	32	188
451379	128	14380
453217	32	86
454941	32	6808
455907	32	76
456019	512	210
456167	512	191
456306	512	122
456869	512	216
456942	512	147
458571	64	954
459260	512	5964
460854	256	16
461058	64	374
461285	256	81
461593	64	751
462285	256	84
463052	64	225
463544	256	89
463699	128	1472
463820	64	210
464796	32	14
464829	64	343
465014	64	1398
465042	32	199
465236	512	2048
465266	256	82
465309	32	135
465403	64	578
465415	64	745
465464	32	174
465631	64	744
466096	32	50
466304	256	84
466354	32	47
466381	256	90
466402	256	41
466468	32	46
466475	256	80
